Dia (Dia da Semana) ,Data (dd/mm/aa),Turno,Descarte (kg),Produção Total (kg),Produção ideal (kg),Produção - Arroz (kg),Produção - Feijão (kg),Produção - Macarrão (kg),Produção - Batata (kg),Produção - Carne (kg),Produção - Extrato de tomate (kg),Produção - Alface (Unid.),Produção - Cenoura (ou Beterraba) (kg),Produção - Couve (Maços),Produção - Tomate (kg),Produção - Pepino (kg),Produção - Cebola (kg),Classificação do dia
Quinta-feira,17/08/2023,Jantar,"7,9","268,5","260,6",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,18/08/2023,Almoço,"28,8","448,5","419,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,18/08/2023,Jantar,"0,5","268,5",268,15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,19/08/2023,Almoço,0,"448,5","448,5",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,19/08/2023,Jantar,0,"268,5","268,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,20/08/2023,Almoço,"1,05","448,5","447,45",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,20/08/2023,Jantar,"4,25","268,5","264,25",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,21/08/2023,Almoço,"53,55","448,5","394,95",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,21/08/2023,Jantar,"7,35","268,5","261,15",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,22/08/2023,Almoço,"43,8","448,5","404,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,22/08/2023,Jantar,"18,45","268,5","250,05",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,23/08/2023,Almoço,"37,5","448,5",411,40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,23/08/2023,Jantar,"27,3","268,5","241,2",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quinta-feira,24/08/2023,Almoço,"65,1","448,5","383,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quinta-feira,24/08/2023,Jantar,"18,7","268,5","249,8",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Sexta-feira,25/08/2023,Almoço,"36,5","448,5",412,40,20,"12,5",125,120,4,15,25,30,30,25,2,1
Sexta-feira,25/08/2023,Jantar,15,"268,5","253,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,1
Sábado,26/08/2023,Almoço,"7,1","448,5","441,4",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Sábado,26/08/2023,Jantar,"5,25","268,5","263,25",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Domingo,27/08/2023,Almoço,"7,75","448,5","440,75",40,20,"12,5",125,120,4,15,25,30,30,25,2,2
Domingo,27/08/2023,Jantar,"2,05","268,5","266,45",15,10,"12,5",40,60,4,15,25,30,30,25,2,2
Segunda-feira,28/08/2023,Almoço,"34,8","448,5","413,7",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Segunda-feira,28/08/2023,Jantar,11,"268,5","257,5",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Terça-feira,29/08/2023,Almoço,"50,55","448,5","397,95",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Terça-feira,29/08/2023,Jantar,"20,05","268,5","248,45",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
Quarta-feira,30/08/2023,Almoço,"52,15","448,5","396,35",40,20,"12,5",125,120,4,15,25,30,30,25,2,0
Quarta-feira,30/08/2023,Jantar,"14,2","268,5","254,3",15,10,"12,5",40,60,4,15,25,30,30,25,2,0
